gene	mean_expr	CV	log2FC	padj	description
g961	167.2	0.2798	0.680	0.2072	
g5996	126.2	0.1299	-0.293	0.7841	sp|Q54HF6|LSM7_DICDI Probable U6 snRNA-associated Sm-like protein LSm7 OS=Dictyostelium discoideum OX=44689 GN=lsm7 PE=3 SV=1
g1618	177.1	0.3169	0.097	0.9482	
g15220	116.2	0.0939	-0.118	0.9444	
g10600	148.1	0.2112	0.094	0.9614	
g3872	129.4	0.1427	-0.285	0.7901	sp|Q5BH89|DOT1_EMENI Histone-lysine N-methyltransferase, H3 lysine-79 specific OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=dot1 PE=3 SV=1
g182	150.6	0.2210	-0.274	0.8162	sp|Q5ZKI4|CCD93_CHICK Coiled-coil domain-containing protein 93 OS=Gallus gallus OX=9031 GN=CCDC93 PE=2 SV=1
g14091	147.0	0.2084	0.222	0.8797	sp|Q55DV9|CGL_DICDI Cystathionine gamma-lyase OS=Dictyostelium discoideum OX=44689 GN=cysA PE=1 SV=1
g9987	149.4	0.2177	0.064	0.9683	sp|B0F9L4|GOGC6_ARATH Golgin candidate 6 OS=Arabidopsis thaliana OX=3702 GN=GC6 PE=1 SV=2
g4468	152.3	0.2285	-0.280	0.7804	sp|Q76PD2|HEL2_SCHPO E3 ubiquitin-protein ligase hel2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC1223.01 PE=1 SV=2
g2964	154.0	0.2346	-0.400	0.6246	sp|Q9V3D2|HEM6_DROME Oxygen-dependent coproporphyrinogen-III oxidase OS=Drosophila melanogaster OX=7227 GN=Coprox PE=2 SV=1
g8793	168.0	0.2867	0.106	0.9509	sp|O60188|UTP6_SCHPO U3 small nucleolar RNA-associated protein 6 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=utp6 PE=3 SV=1
g6713	161.0	0.2609	0.397	0.5952	
g8776	148.1	0.2132	0.233	0.8352	sp|Q5BLD8|MT21A_DANRE Protein N-lysine methyltransferase METTL21A OS=Danio rerio OX=7955 GN=mettl21a PE=2 SV=1
g13091	153.6	0.2339	-0.569	0.3196	sp|Q9VMD6|RETM_DROME Protein real-time OS=Drosophila melanogaster OX=7227 GN=retm PE=1 SV=2
g8361	136.3	0.1700	0.261	0.8226	sp|A2XDG4|UBP26_ORYSI Ubiquitin carboxyl-terminal hydrolase 26 OS=Oryza sativa subsp. indica OX=39946 GN=UBP26 PE=3 SV=1
g6500	142.6	0.1936	0.460	0.5498	
g1976	114.6	0.0904	-0.114	0.9470	
g6078	128.5	0.1416	-0.138	0.9323	sp|Q8K4C0|FMO5_RAT Flavin-containing monooxygenase 5 OS=Rattus norvegicus OX=10116 GN=Fmo5 PE=1 SV=3
g11091	113.0	0.0846	-0.008	0.9956	sp|Q9SA42|MD22A_ARATH Mediator of RNA polymerase II transcription subunit 22a OS=Arabidopsis thaliana OX=3702 GN=MED22A PE=1 SV=1
g7035	140.2	0.1851	0.456	0.5447	
g2174	112.2	0.0816	0.149	0.9262	sp|B8MKZ6|TSTM_TALSN Hydrolase phiM OS=Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) OX=441959 GN=tstM PE=1 SV=1
g3428	141.9	0.1921	0.057	0.9759	
g5950	138.6	0.1800	0.386	0.6756	
g12678	209.9	0.4446	-0.469	0.4889	
g15466	164.9	0.2784	-0.209	0.8621	sp|Q5A4N5|RAD18_CANAL Postreplication repair E3 ubiquitin-protein ligase RAD18 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=RAD18 PE=3 SV=2
g12842	181.3	0.3396	-0.097	0.9457	
g8716	237.5	0.5485	0.782	0.1147	
g8550	202.0	0.4169	-0.733	0.1224	sp|B8VIW9|FP_ACRMI Fibronectin type III domain-containing protein OS=Acropora millepora OX=45264 PE=1 SV=1
g2587	176.4	0.3220	-0.115	0.9486	
g8366	124.2	0.1279	0.270	0.8162	sp|Q9C801|MOS2_ARATH Protein MOS2 OS=Arabidopsis thaliana OX=3702 GN=MOS2 PE=2 SV=1
g8914	130.9	0.1532	-0.023	0.9879	sp|Q6JQN1|ACD10_HUMAN Acyl-CoA dehydrogenase family member 10 OS=Homo sapiens OX=9606 GN=ACAD10 PE=1 SV=1
g5596	123.0	0.1239	0.151	0.9274	sp|D3YY23|LONF1_MOUSE LON peptidase N-terminal domain and RING finger protein 1 OS=Mus musculus OX=10090 GN=Lonrf1 PE=1 SV=2
g2797	235.3	0.5418	0.821	0.1144	
g4478	234.2	0.5390	0.566	0.5150	sp|Q5Z8T3|MIOX_ORYSJ Probable inositol oxygenase OS=Oryza sativa subsp. japonica OX=39947 GN=Os06g0561000 PE=2 SV=1
g3387	147.6	0.2163	-0.534	0.4448	sp|P36993|PPM1B_MOUSE Protein phosphatase 1B OS=Mus musculus OX=10090 GN=Ppm1b PE=1 SV=1
g3784	165.4	0.2825	-0.535	0.4928	sp|O60671|RAD1_HUMAN Cell cycle checkpoint protein RAD1 OS=Homo sapiens OX=9606 GN=RAD1 PE=1 SV=1
g6086	190.3	0.3754	-0.921	0.0674	
g3604	134.5	0.1677	0.186	0.9113	
g15808	137.7	0.1797	-0.277	0.8236	sp|P31230|AIMP1_MOUSE Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Mus musculus OX=10090 GN=Aimp1 PE=1 SV=2
g5711	125.9	0.1360	-0.178	0.9093	sp|A4IHW6|GNPI2_XENTR Glucosamine-6-phosphate deaminase 2 OS=Xenopus tropicalis OX=8364 GN=gnpda2 PE=2 SV=1
g11178	290.8	0.7511	0.479	0.7320	sp|Q4KML2|CRYD_DANRE Cryptochrome DASH OS=Danio rerio OX=7955 GN=cry-dash PE=2 SV=2
g7332	165.7	0.2849	0.011	0.9936	
g11522	170.0	0.3008	0.012	0.9925	sp|P96831|ACD2_MYCTU Probable acyl-CoA dehydrogenase FadE2 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=fadE2 PE=1 SV=4
g8340	175.0	0.3201	-0.847	0.1107	
g3911	141.3	0.1942	-0.405	0.6246	sp|A0A517FNC7|94D18_PARPY Cytochrome P450 CYP94D108 OS=Paris polyphylla OX=49666 GN=CYP94D108 PE=1 SV=1
g8789	153.1	0.2385	0.170	0.9007	sp|P33750|DCA13_YEAST Protein SOF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SOF1 PE=1 SV=1
g14834	155.7	0.2482	-0.221	0.8655	
g3726	157.6	0.2552	-0.551	0.3429	sp|Q8BHN0|PPM1L_MOUSE Protein phosphatase 1L OS=Mus musculus OX=10090 GN=Ppm1l PE=1 SV=1
g9844	182.4	0.3481	-0.167	0.8910	
g7457	155.1	0.2461	0.011	0.9943	sp|Q0P594|PP2AB_BOVIN Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform OS=Bos taurus OX=9913 GN=PPP2CB PE=1 SV=1
g1253	129.5	0.1508	-0.167	0.9103	sp|Q2KIA6|PRPF3_BOVIN U4/U6 small nuclear ribonucleoprotein Prp3 OS=Bos taurus OX=9913 GN=PRPF3 PE=2 SV=1
g15209	154.9	0.2457	-0.523	0.4029	
g15581	347.7	0.9672	0.967	0.2345	
g10994	142.1	0.1981	-0.121	0.9369	sp|Q803A8|WWOX_DANRE WW domain-containing oxidoreductase OS=Danio rerio OX=7955 GN=wwox PE=2 SV=1
g8638	189.5	0.3757	-0.108	0.9609	
g12775	151.5	0.2339	0.131	0.9433	
g14576	155.6	0.2492	-0.437	0.5219	
g6820	122.4	0.1251	-0.069	0.9673	sp|O75845|SC5D_HUMAN Lathosterol oxidase OS=Homo sapiens OX=9606 GN=SC5D PE=1 SV=2
g8559	157.2	0.2555	-0.680	0.1816	sp|Q554J3|FKBP1_DICDI FK506-binding protein 1 OS=Dictyostelium discoideum OX=44689 GN=fkbp1 PE=3 SV=1
g3980	126.1	0.1392	-0.084	0.9614	sp|Q8WZA1|PMGT1_HUMAN Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 OS=Homo sapiens OX=9606 GN=POMGNT1 PE=1 SV=2
g13500	162.4	0.2753	0.508	0.5257	sp|O14530|TXND9_HUMAN Thioredoxin domain-containing protein 9 OS=Homo sapiens OX=9606 GN=TXNDC9 PE=1 SV=2
g553	120.3	0.1175	-0.057	0.9740	sp|Q3M3Q5|TRMB_TRIV2 tRNA (guanine-N(7)-)-methyltransferase OS=Trichormus variabilis (strain ATCC 29413 / PCC 7937) OX=240292 GN=trmB PE=3 SV=1
g751	157.8	0.2582	0.039	0.9811	sp|Q95QQ2|TPC13_CAEEL Probable trafficking protein particle complex subunit 13 homolog OS=Caenorhabditis elegans OX=6239 GN=C56C10.7 PE=3 SV=1
g15014	136.6	0.1789	0.329	0.7344	sp|Q8BZF2|NIPA4_MOUSE Magnesium transporter NIPA4 OS=Mus musculus OX=10090 GN=Nipal4 PE=1 SV=1
g11641	122.4	0.1257	-0.005	0.9974	
g10402	131.2	0.1591	-0.252	0.8333	sp|A4IHW6|GNPI2_XENTR Glucosamine-6-phosphate deaminase 2 OS=Xenopus tropicalis OX=8364 GN=gnpda2 PE=2 SV=1
g6351	150.1	0.2301	0.369	0.6966	sp|A0QYL8|MFSEP_MYCS2 MFS-type efflux pump MSMEG_3705 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_3705 PE=3 SV=1
g3306	155.4	0.2504	-0.694	0.1798	sp|Q10274|TEB1_SCHPO Telobox protein 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=teb1 PE=1 SV=1
g10093	145.7	0.2143	-0.413	0.6770	sp|O28578|PANE_ARCFU 2-dehydropantoate 2-reductase OS=Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16) OX=224325 GN=AF_1695 PE=3 SV=1
g4199	104.6	0.0599	0.085	0.9614	sp|Q21IS0|MTAD_SACD2 5-methylthioadenosine/S-adenosylhomocysteine deaminase OS=Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024) OX=203122 GN=mtaD PE=3 SV=1
g4620	223.9	0.5088	-0.757	0.1193	sp|Q54J66|SYTC1_DICDI Probable threonine--tRNA ligase 1, cytoplasmic OS=Dictyostelium discoideum OX=44689 GN=thrS1 PE=3 SV=1
g8393	113.9	0.0955	-0.053	0.9763	sp|H2KZK4|DESI1_CAEEL Desumoylating isopeptidase 1 homolog OS=Caenorhabditis elegans OX=6239 GN=F36D4.5 PE=2 SV=1
g8423	111.6	0.0876	-0.107	0.9509	
g11505	183.6	0.3594	-0.582	0.3640	sp|D0ZVG2|SSPH1_SALT1 E3 ubiquitin-protein ligase SspH1 OS=Salmonella typhimurium (strain 14028s / SGSC 2262) OX=588858 GN=sspH1 PE=1 SV=1
g2473	154.9	0.2515	0.550	0.3517	
g8292	135.4	0.1779	-0.258	0.8412	
g3837	142.7	0.2054	-0.262	0.8027	sp|Q08DT6|RM47_BOVIN Large ribosomal subunit protein uL29m OS=Bos taurus OX=9913 GN=MRPL47 PE=2 SV=1
g11624	136.8	0.1832	-0.115	0.9450	
g531	250.3	0.6123	0.166	0.9474	
g2186	122.7	0.1305	0.115	0.9450	sp|Q5BK18|CIAO3_RAT Cytosolic iron-sulfur assembly component 3 OS=Rattus norvegicus OX=10116 GN=Ciao3 PE=2 SV=1
g15796	130.6	0.1614	0.183	0.9004	sp|Q54LT8|STRAP_DICDI Serine-threonine kinase receptor-associated protein OS=Dictyostelium discoideum OX=44689 GN=strap PE=3 SV=1
g9709	127.9	0.1515	-0.240	0.8527	sp|Q5W915|USP_PEA UDP-sugar pyrophospharylase OS=Pisum sativum OX=3888 GN=USP PE=1 SV=1
g530	141.0	0.2010	0.316	0.7500	sp|Q60417|SCRB1_CRIGR Scavenger receptor class B member 1 OS=Cricetulus griseus OX=10029 GN=SCARB1 PE=2 SV=1
g12180	162.4	0.2825	0.076	0.9614	sp|E2RTQ2|KIN13_GIAIC Kinesin-like protein KIN-13 OS=Giardia intestinalis (strain ATCC 50803 / WB clone C6) OX=184922 GN=kin-13 PE=1 SV=1
g2669	161.4	0.2791	0.087	0.9623	sp|P14913|4CL2_PETCR 4-coumarate--CoA ligase 2 OS=Petroselinum crispum OX=4043 GN=4CL2 PE=2 SV=1
g931	124.6	0.1395	0.058	0.9728	sp|Q9VHH7|ADAL_DROME Adenosine deaminase-like protein OS=Drosophila melanogaster OX=7227 GN=Ada PE=2 SV=1
g4947	130.9	0.1633	-0.264	0.8249	
g9451	153.0	0.2472	0.523	0.5182	
g11175	178.2	0.3432	-0.234	0.9058	
g9188	167.2	0.3017	0.300	0.7901	
g4867	128.7	0.1554	-0.076	0.9623	
g10058	144.5	0.2155	-0.559	0.3877	sp|Q680U9|TFB2_ARATH General transcription and DNA repair factor IIH subunit TFB2 OS=Arabidopsis thaliana OX=3702 GN=TFB2 PE=2 SV=1
g1499	126.4	0.1467	0.341	0.7137	sp|Q9HD40|SPCS_HUMAN O-phosphoseryl-tRNA(Sec) selenium transferase OS=Homo sapiens OX=9606 GN=SEPSECS PE=1 SV=2
g13673	194.6	0.4061	-0.125	0.9433	sp|Q7F830|CCA11_ORYSJ Cyclin-A1-1 OS=Oryza sativa subsp. japonica OX=39947 GN=CYCA1-1 PE=2 SV=1
g8274	155.2	0.2567	-0.558	0.3951	
g12587	143.8	0.2132	0.116	0.9433	sp|Q9C6B6|HRD3B_ARATH ERAD-associated E3 ubiquitin-protein ligase component HRD3B OS=Arabidopsis thaliana OX=3702 GN=HRD3B PE=3 SV=1
g6488	147.7	0.2280	-0.020	0.9892	
g4738	146.3	0.2228	-0.299	0.7538	
g13903	159.2	0.2720	0.060	0.9718	
g4948	158.4	0.2692	-0.079	0.9636	sp|Q8A2H2|GALSF_BACTN N-acetylgalactosamine-6-O-sulfatase OS=Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50) OX=226186 GN=BT_3333 PE=1 SV=1
g1593	149.7	0.2362	-0.155	0.9362	
g15059	133.3	0.1741	-0.361	0.6966	sp|C0PBF8|OXDA_MAIZE D-amino-acid oxidase OS=Zea mays OX=4577 GN=DAO PE=1 SV=1
g7183	125.5	0.1445	-0.013	0.9926	
g8642	142.1	0.2080	0.375	0.6652	
g11552	187.3	0.3802	0.324	0.7733	
g11079	128.4	0.1565	0.011	0.9942	sp|A1CCL9|BXLB_ASPCL Probable exo-1,4-beta-xylosidase bxlB OS=Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107) OX=344612 GN=bxlB PE=3 SV=2
g15850	152.1	0.2473	0.277	0.8059	sp|Q2TBP8|MET17_BOVIN Ribosome assembly protein METTL17, mitochondrial OS=Bos taurus OX=9913 GN=METTL17 PE=2 SV=1
g13106	111.2	0.0909	0.137	0.9349	sp|Q15427|SF3B4_HUMAN Splicing factor 3B subunit 4 OS=Homo sapiens OX=9606 GN=SF3B4 PE=1 SV=1
g12303	102.0	0.0561	0.097	0.9558	
g7965	160.1	0.2778	-0.806	0.0752	sp|A7SCH8|KYNU_NEMVE Kynureninase OS=Nematostella vectensis OX=45351 GN=kynu PE=3 SV=1
g8538	125.8	0.1472	0.378	0.6714	sp|Q8R2Y8|PTH2_MOUSE Peptidyl-tRNA hydrolase 2, mitochondrial OS=Mus musculus OX=10090 GN=Ptrh2 PE=1 SV=1
g9648	137.2	0.1907	0.432	0.5938	sp|B3DNN5|CDC16_ARATH Anaphase-promoting complex subunit 6 OS=Arabidopsis thaliana OX=3702 GN=APC6 PE=2 SV=1
g6665	209.8	0.4682	-0.466	0.6650	sp|E1BPK6|MYO6_BOVIN Unconventional myosin-VI OS=Bos taurus OX=9913 GN=MYO6 PE=1 SV=4
g4103	179.4	0.3522	-0.616	0.2083	
g1541	122.4	0.1346	-0.326	0.7532	sp|Q6UK63|PIRA_DICDI Protein pirA OS=Dictyostelium discoideum OX=44689 GN=pirA PE=1 SV=1
g364	124.1	0.1410	0.074	0.9665	sp|Q55BF4|UCPA_DICDI Mitochondrial substrate carrier family protein ucpA OS=Dictyostelium discoideum OX=44689 GN=ucpA PE=3 SV=1
g1738	149.8	0.2393	-0.270	0.8082	
g11071	176.8	0.3427	0.517	0.5126	sp|P0C8M8|CCR1_MAIZE Probable serine/threonine-protein kinase CCRP1 OS=Zea mays OX=4577 GN=CCRP1 PE=1 SV=1
g3284	125.0	0.1449	-0.004	0.9978	sp|O13983|HRQ1_SCHPO ATP-dependent helicase hrq1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=hrq1 PE=1 SV=4
g2100	131.3	0.1689	-0.171	0.9078	sp|Q987T6|FOLD2_RHILO Bifunctional protein FolD 2 OS=Mesorhizobium japonicum (strain LMG 29417 / CECT 9101 / MAFF 303099) OX=266835 GN=folD2 PE=3 SV=1
g3334	118.3	0.1194	0.138	0.9349	
g13435	142.7	0.2130	-0.161	0.9138	sp|Q54PP7|LVSF_DICDI BEACH domain-containing protein lvsF OS=Dictyostelium discoideum OX=44689 GN=lvsF PE=4 SV=1
g1995	125.6	0.1478	-0.132	0.9435	
g7385	180.8	0.3595	-0.027	0.9849	sp|Q6L5F5|IMCE_ORYSJ Probable isoprenylcysteine alpha-carbonyl methylesterase ICME OS=Oryza sativa subsp. japonica OX=39947 GN=IMCE PE=2 SV=1
g5877	122.5	0.1360	0.119	0.9450	sp|Q9NZ71|RTEL1_HUMAN Regulator of telomere elongation helicase 1 OS=Homo sapiens OX=9606 GN=RTEL1 PE=1 SV=2
g3004	137.7	0.1946	0.519	0.4288	sp|Q8VC42|RMC1_MOUSE Regulator of MON1-CCZ1 complex OS=Mus musculus OX=10090 GN=Rmc1 PE=2 SV=1
g4389	132.9	0.1770	0.240	0.8623	sp|Q54J42|ALG5_DICDI Dolichyl-phosphate beta-glucosyltransferase OS=Dictyostelium discoideum OX=44689 GN=alg5 PE=2 SV=1
g7957	161.2	0.2855	-0.797	0.1169	
g10380	345.7	0.9947	-0.740	0.4825	
g12308	125.2	0.1478	0.030	0.9851	
g7239	132.2	0.1750	-0.073	0.9666	
g13263	147.8	0.2350	-0.339	0.7060	sp|Q96GG9|DCNL1_HUMAN DCN1-like protein 1 OS=Homo sapiens OX=9606 GN=DCUN1D1 PE=1 SV=1
g14318	133.8	0.1814	0.395	0.6448	
g10636	135.2	0.1870	-0.462	0.5461	sp|Q6GPB8|DBR1A_XENLA Lariat debranching enzyme A OS=Xenopus laevis OX=8355 GN=dbr1-a PE=2 SV=1
g7627	187.6	0.3887	-0.016	0.9904	sp|B5X3B2|APMAP_SALSA Adipocyte plasma membrane-associated protein OS=Salmo salar OX=8030 GN=apmap PE=2 SV=1
g197	206.3	0.4609	-0.653	0.1635	sp|Q0WPU1|MYO15_ARATH Myosin-15 OS=Arabidopsis thaliana OX=3702 GN=XI-I PE=1 SV=1
g5737	189.6	0.3970	-0.554	0.2932	
g3029	147.0	0.2329	-0.039	0.9848	
g3600	180.5	0.3624	-0.177	0.8913	sp|Q7T6X2|YR826_MIMIV Putative serine/threonine-protein kinase/receptor R826 OS=Acanthamoeba polyphaga mimivirus OX=212035 GN=MIMI_R826 PE=3 SV=2
g9447	135.6	0.1896	0.277	0.7980	sp|B4XMC6|DCDA_HELPX Diaminopimelate decarboxylase OS=Helicobacter pylori OX=210 GN=lysA PE=1 SV=1
g9026	160.4	0.2863	0.783	0.0845	sp|P53980|YNB1_YEAST Uncharacterized protein YNL011C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YNL011C PE=1 SV=1
g3709	230.5	0.5570	0.642	0.4228	sp|O13752|YF22_SCHPO Uncharacterized TLC domain-containing protein C17A2.02c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC17A2.02c PE=4 SV=1
g3583	156.4	0.2709	-0.491	0.4889	sp|P0CH36|ADHC1_MYCS2 NADP-dependent alcohol dehydrogenase C 1 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=adhc1 PE=1 SV=1
g2285	109.5	0.0898	0.008	0.9955	sp|Q2KID6|PLRG1_BOVIN Pleiotropic regulator 1 OS=Bos taurus OX=9913 GN=PLRG1 PE=2 SV=1
g3049	137.5	0.1983	0.223	0.8585	sp|K4BW79|ENOX_SOLLC 2-methylene-furan-3-one reductase OS=Solanum lycopersicum OX=4081 GN=EO PE=1 SV=1
g6195	156.4	0.2713	0.461	0.5133	sp|Q5M974|RN181_XENTR E3 ubiquitin-protein ligase RNF181 OS=Xenopus tropicalis OX=8364 GN=rnf181 PE=2 SV=1
g153	164.7	0.3037	-0.654	0.1876	sp|O35254|GORS1_RAT Golgi reassembly-stacking protein 1 OS=Rattus norvegicus OX=10116 GN=Gorasp1 PE=1 SV=4
g6911	210.2	0.4800	-0.163	0.9433	
g14894	149.7	0.2462	-0.032	0.9848	sp|Q5E950|NHP2_BOVIN H/ACA ribonucleoprotein complex subunit 2 OS=Bos taurus OX=9913 GN=NHP2 PE=2 SV=1
g14257	117.9	0.1232	-0.094	0.9571	
g3748	120.6	0.1339	-0.173	0.9135	sp|Q54NW7|VAM7A_DICDI Vesicle-associated membrane protein 7A OS=Dictyostelium discoideum OX=44689 GN=vamp7A PE=1 SV=1
g7276	147.5	0.2383	0.608	0.3392	sp|Q802V6|ABH2A_DANRE Monoacylglycerol lipase ABHD2 OS=Danio rerio OX=7955 GN=abhd2a PE=2 SV=1
g2123	123.2	0.1439	0.051	0.9769	sp|Q11HA9|RL11_CHESB Large ribosomal subunit protein uL11 OS=Chelativorans sp. (strain BNC1) OX=266779 GN=rplK PE=3 SV=1
g1801	144.3	0.2262	-0.416	0.6269	sp|Q8T8P3|ABCD2_DICDI ABC transporter D family member 2 OS=Dictyostelium discoideum OX=44689 GN=abcD2 PE=3 SV=1
g2208	151.1	0.2525	0.345	0.7852	
g2209	154.8	0.2673	0.133	0.9345	sp|O60140|YNS9_SCHPO Uncharacterized protein C18H10.09 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC18H10.09 PE=4 SV=2
g13550	114.3	0.1105	0.034	0.9848	sp|P19485|CYA1_RHIME Adenylate cyclase 1 OS=Rhizobium meliloti (strain 1021) OX=266834 GN=cya1 PE=3 SV=2
g1304	239.4	0.5960	0.479	0.6441	sp|O59672|YB89_SCHPO Uncharacterized ABC transporter ATP-binding protein C29A3.09c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC29A3.09c PE=3 SV=1
g4092	123.8	0.1473	-0.111	0.9459	sp|P29054|TF2B_XENLA Transcription initiation factor IIB OS=Xenopus laevis OX=8355 GN=gtf2b PE=2 SV=1
g8999	127.3	0.1618	0.294	0.8127	sp|Q9QYJ3|DNJB1_MOUSE DnaJ homolog subfamily B member 1 OS=Mus musculus OX=10090 GN=Dnajb1 PE=1 SV=3
g6963	120.7	0.1365	0.247	0.8352	sp|P49104|RAB2B_MAIZE Ras-related protein Rab-2-B OS=Zea mays OX=4577 GN=RAB2B PE=2 SV=1
g14264	168.7	0.3235	0.187	0.9113	sp|Q63472|KCNH1_RAT Voltage-gated delayed rectifier potassium channel KCNH1 OS=Rattus norvegicus OX=10116 GN=Kcnh1 PE=1 SV=1
g1408	154.9	0.2701	-0.232	0.8693	sp|P23258|TBG1_HUMAN Tubulin gamma-1 chain OS=Homo sapiens OX=9606 GN=TUBG1 PE=1 SV=2
g6161	136.4	0.1984	-0.244	0.8352	sp|Q2FT79|RIBL_METHJ FAD synthase OS=Methanospirillum hungatei JF-1 (strain ATCC 27890 / DSM 864 / NBRC 100397 / JF-1) OX=323259 GN=ribL PE=3 SV=1
g12529	182.7	0.3788	0.158	0.9049	sp|O59751|KLP6_SCHPO Kinesin-like protein 6 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=klp6 PE=1 SV=1
g14478	116.9	0.1226	0.069	0.9689	sp|Q0WQ57|AUXI2_ARATH Auxilin-related protein 2 OS=Arabidopsis thaliana OX=3702 GN=At4g12770 PE=1 SV=1
g13482	143.3	0.2260	0.502	0.4746	
g13363	115.9	0.1195	0.149	0.9225	sp|O23299|ECI2_ARATH Enoyl-CoA delta isomerase 2, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=ECI2 PE=1 SV=1
g9888	122.7	0.1462	0.112	0.9499	sp|Q9LMP7|GOS11_ARATH Golgi SNAP receptor complex member 1-1 OS=Arabidopsis thaliana OX=3702 GN=GOS11 PE=2 SV=1
g8649	137.2	0.2029	-0.074	0.9666	sp|B1WSK6|SYL_CROS5 Leucine--tRNA ligase OS=Crocosphaera subtropica (strain ATCC 51142 / BH68) OX=43989 GN=leuS PE=3 SV=1
g6753	194.6	0.4274	0.828	0.0734	sp|Q43207|FKB70_WHEAT 70 kDa peptidyl-prolyl isomerase OS=Triticum aestivum OX=4565 GN=FKBP70 PE=1 SV=1
g12784	119.2	0.1326	0.280	0.8009	sp|P16006|DCTD_BPT4 Deoxycytidylate deaminase OS=Enterobacteria phage T4 OX=10665 GN=CD PE=1 SV=1
g6878	127.3	0.1645	0.335	0.7551	
g3764	121.6	0.1424	0.033	0.9848	sp|Q49SH1|NCKX5_DANRE Sodium/potassium/calcium exchanger 5 OS=Danio rerio OX=7955 GN=slc24a5 PE=2 SV=1
g3602	131.7	0.1820	0.505	0.4708	sp|Q04924|GLU2B_YEAST Glucosidase 2 subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GTB1 PE=1 SV=1
g8584	111.3	0.1023	-0.055	0.9749	
g11327	262.5	0.6941	0.163	0.9124	sp|P18652|KS6AA_CHICK Ribosomal protein S6 kinase 2 alpha OS=Gallus gallus OX=9031 GN=RPS6KA PE=2 SV=1
g8289	401.2	1.2377	-0.301	0.8630	sp|P41352|TBB_TETTH Tubulin beta chain OS=Tetrahymena thermophila OX=5911 GN=BTU1 PE=1 SV=1
g1411	127.0	0.1643	-0.223	0.8766	sp|Q6K9A2|CCR1_ORYSJ Cinnamoyl-CoA reductase 1 OS=Oryza sativa subsp. japonica OX=39947 GN=CCR1 PE=1 SV=1
g6813	146.2	0.2396	-0.157	0.9251	sp|Q8QHA5|DNA2_XENLA DNA replication ATP-dependent helicase/nuclease DNA2 OS=Xenopus laevis OX=8355 GN=dna2 PE=1 SV=1
g2890	138.7	0.2106	-0.007	0.9961	sp|Q64411|PEPC_CAVPO Gastricsin OS=Cavia porcellus OX=10141 GN=PGC PE=2 SV=1
g9148	171.4	0.3388	0.292	0.7752	sp|A3DC75|RSGI3_ACET2 Anti-sigma-I factor RsgI3 OS=Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) OX=203119 GN=rsgI3 PE=1 SV=1
g11243	121.0	0.1414	0.127	0.9387	sp|Q9M0V0|MFDX1_ARATH Adrenodoxin-like protein 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=MFDX1 PE=1 SV=1
g3488	113.5	0.1124	-0.111	0.9482	
g8397	159.7	0.2936	-0.541	0.4096	
g11420	97.0	0.0478	0.010	0.9946	
g2321	140.3	0.2182	0.387	0.6836	
g16025	104.7	0.0782	0.014	0.9923	
