gene	scaf	strand	n_exons	n_introns	utr5_start	utr5_end	utr5_len	utr3_start	utr3_end	utr3_len	n_utr5_introns	first_intron_start	first_intron_end
g15245	Scaffolds_7	+	1	0			0			0	0		
g10142	Scaffolds_26	-	1	0			0			0	0		
g6726	Scaffolds_20	-	1	0			0			0	0		
g14768	Scaffolds_5	+	1	0			0			0	0		
g9650	Scaffolds_25	+	1	0			0			0	0		
g436	Scaffolds_0	+	1	0			0			0	0		
g4125	Scaffolds_17	-	1	0			0			0	0		
g8881	Scaffolds_24	-	13	12			0			0	0	27955	28073
g13043	Scaffolds_33	-	1	0			0			0	0		
g14014	Scaffolds_4	-	1	0			0			0	0		
g3367	Scaffolds_16	-	1	0			0			0	0		
g12580	Scaffolds_32	-	1	0			0			0	0		
g10418	Scaffolds_28	-	1	0			0			0	0		
g11228	Scaffolds_29	-	1	0			0			0	0		
g6871	Scaffolds_20	-	1	0			0			0	0		
g4546	Scaffolds_18	+	1	0			0			0	0		
g4048	Scaffolds_17	+	2	1			0	988809	990249	1441	0	984903	985193
g7787	Scaffolds_22	-	1	0			0			0	0		
g14290	Scaffolds_4	+	4	3			0	2628861	2628909	49	0	2626711	2626986
g10018	Scaffolds_26	+	1	0			0			0	0		
g14114	Scaffolds_4	-	1	0			0			0	0		
g13960	Scaffolds_4	+	1	0			0			0	0		
g4228	Scaffolds_17	+	1	0			0			0	0		
g8487	Scaffolds_23	+	1	0			0			0	0		
g1202	Scaffolds_10	-	2	1			0			0	0	1361237	1361319
g1956	Scaffolds_13	+	1	0			0			0	0		
g8824	Scaffolds_23	+	3	2			0	1959694	1959904	211	0	1959117	1959357
g12591	Scaffolds_32	-	2	1			0			0	0	219520	219989
g8362	Scaffolds_23	+	2	1			0			0	0	122333	122628
g13962	Scaffolds_4	+	1	0	1429332	1429811	480			0	0		
g15815	Scaffolds_8	+	1	0			0			0	0		
g310	Scaffolds_0	+	2	1			0			0	0	1221343	1221699
g12216	Scaffolds_31	+	1	0			0			0	0		
g12685	Scaffolds_32	+	2	1			0			0	0	526039	526183
g1936	Scaffolds_13	-	1	0			0			0	0		
g13076	Scaffolds_33	+	2	1			0	997524	998620	1097	0	995901	995967
g11698	Scaffolds_3	-	1	0			0			0	0		
g4827	Scaffolds_18	-	1	0	2135461	2135549	89			0	0		
g7139	Scaffolds_21	+	1	0			0	421389	421699	311	0		
g10489	Scaffolds_28	+	1	0			0			0	0		
g11052	Scaffolds_29	+	1	0			0			0	0		
g814	Scaffolds_1	-	2	1			0			0	0	1281984	1282403
g14704	Scaffolds_5	+	1	0			0			0	0		
g12667	Scaffolds_32	+	1	0			0			0	0		
g13951	Scaffolds_4	+	1	0			0			0	0		
g86	Scaffolds_0	-	1	0			0			0	0		
g15265	Scaffolds_7	+	1	0			0			0	0		
g9753	Scaffolds_26	+	1	0			0			0	0		
g5114	Scaffolds_18	-	1	0			0			0	0		
g10397	Scaffolds_28	-	2	1			0			0	0	197594	197686
g8932	Scaffolds_24	-	1	0			0			0	0		
g15160	Scaffolds_6	+	2	1			0	799749	799875	127	0	797954	798001
g13530	Scaffolds_33	+	1	0			0			0	0		
g6258	Scaffolds_2	+	1	0			0			0	0		
g12605	Scaffolds_32	+	1	0			0			0	0		
g5615	Scaffolds_19	-	1	0	995514	995626	113			0	0		
g14748	Scaffolds_5	-	1	0			0			0	0		
g9722	Scaffolds_25	-	1	0			0			0	0		
g1012	Scaffolds_10	+	1	0			0			0	0		
g6394	Scaffolds_2	-	1	0			0			0	0		
g8036	Scaffolds_22	+	1	0			0			0	0		
g14544	Scaffolds_4	+	1	0			0			0	0		
g8679	Scaffolds_23	+	1	0			0			0	0		
g11031	Scaffolds_29	-	3	2			0			0	0	1649586	1649693
g4151	Scaffolds_17	+	1	0			0			0	0		
g12244	Scaffolds_31	+	1	0			0	220564	222351	1788	0		
g3216	Scaffolds_15	-	1	0			0			0	0		
g3113	Scaffolds_15	-	1	0			0			0	0		
g15217	Scaffolds_7	+	1	0			0			0	0		
g13655	Scaffolds_4	-	1	0			0			0	0		
g14625	Scaffolds_5	-	2	1			0			0	0	149219	149974
g6415	Scaffolds_2	+	1	0			0			0	0		
g8532	Scaffolds_23	-	3	2	751444	751479	36			0	0	750867	751142
g11583	Scaffolds_3	-	1	0			0			0	0		
g3181	Scaffolds_15	-	1	0			0			0	0		
g862	Scaffolds_10	-	1	0			0			0	0		
g6979	Scaffolds_20	+	2	1			0			0	0	2018212	2018287
g6367	Scaffolds_2	-	1	0			0			0	0		
g7231	Scaffolds_21	+	1	0			0			0	0		
g1150	Scaffolds_10	+	13	12			0	1197421	1197820	400	0	1193503	1193597
g3656	Scaffolds_16	+	2	1			0			0	0	1061644	1061870
g12452	Scaffolds_31	+	1	0			0			0	0		
g1085	Scaffolds_10	+	1	0			0	947202	947618	417	0		
g1354	Scaffolds_11	+	2	1			0	283652	283839	188	0	281950	282085
g7233	Scaffolds_21	+	2	1			0	796592	797207	616	0	795638	795826
g2162	Scaffolds_14	+	2	1			0			0	0	331581	331918
g853	Scaffolds_10	-	20	19	70606	71004	399			0	0	61459	63471
g11502	Scaffolds_3	+	1	0			0			0	0		
g11917	Scaffolds_3	+	1	0			0			0	0		
g13884	Scaffolds_4	-	1	0			0			0	0		
g2947	Scaffolds_15	-	1	0			0			0	0		
g8413	Scaffolds_23	-	1	0			0			0	0		
g14934	Scaffolds_5	-	2	1			0			0	0	1374690	1374852
g11198	Scaffolds_29	-	1	0			0			0	0		
g3087	Scaffolds_15	-	1	0	1987109	1987118	10			0	0		
g14882	Scaffolds_5	+	2	1			0			0	0	1160800	1161047
g13577	Scaffolds_33	+	5	4			0	3004631	3005572	942	0	3002612	3002668
g3184	Scaffolds_15	-	1	0			0			0	0		
g3803	Scaffolds_17	+	1	0			0			0	0		
g9186	Scaffolds_24	-	2	1	1338371	1338512	142			0	0	1338161	1338249
g5280	Scaffolds_18	-	1	0			0			0	0		
g8494	Scaffolds_23	-	1	0			0			0	0		
g2238	Scaffolds_14	+	1	0			0			0	0		
g8389	Scaffolds_23	+	1	0			0			0	0		
g3972	Scaffolds_17	+	1	0			0			0	0		
g1207	Scaffolds_10	-	1	0			0			0	0		
g8877	Scaffolds_23	+	3	2			0	2167364	2167690	327	0	2163653	2163954
g808	Scaffolds_1	+	2	1			0	1253443	1253888	446	0	1252071	1252316
g1903	Scaffolds_13	-	3	2	532514	532562	49			0	0	531591	531880
g5254	Scaffolds_18	+	1	0			0			0	0		
g7015	Scaffolds_20	+	1	0			0			0	0		
g9413	Scaffolds_25	+	3	2			0	331015	331275	261	0	328192	328290
g3977	Scaffolds_17	-	1	0			0			0	0		
g5402	Scaffolds_19	-	4	3			0			0	0	321571	321814
g5982	Scaffolds_19	-	4	3			0			0	0	2258321	2259008
g4599	Scaffolds_18	+	1	0			0	1304676	1305025	350	0		
g10117	Scaffolds_26	-	1	0			0			0	0		
g2083	Scaffolds_14	+	1	0			0			0	0		
g6586	Scaffolds_20	+	3	2			0			0	0	541737	542104
g4527	Scaffolds_18	-	1	0			0			0	0		
g6338	Scaffolds_2	+	1	0			0			0	0		
g11343	Scaffolds_29	+	1	0			0			0	0		
g5170	Scaffolds_18	-	1	0			0			0	0		
g4925	Scaffolds_18	-	1	0			0			0	0		
g8485	Scaffolds_23	+	3	2			0	552964	553247	284	0	551494	551551
g5508	Scaffolds_19	+	1	0			0			0	0		
g2611	Scaffolds_15	-	1	0			0			0	0		
g1884	Scaffolds_13	+	1	0			0			0	0		
g8992	Scaffolds_24	+	1	0			0			0	0		
g14482	Scaffolds_4	+	1	0			0			0	0		
g3524	Scaffolds_16	+	1	0			0			0	0		
g2896	Scaffolds_15	-	1	0			0			0	0		
g12512	Scaffolds_31	+	1	0			0			0	0		
g7074	Scaffolds_21	+	1	0			0	124916	125804	889	0		
g9591	Scaffolds_25	-	1	0			0			0	0		
g10722	Scaffolds_29	+	3	2			0	472605	475174	2570	0	470526	470584
g4739	Scaffolds_18	-	2	1			0			0	0	1834287	1834639
g3464	Scaffolds_16	+	2	1			0			0	0	428926	429123
g4511	Scaffolds_18	-	1	0			0			0	0		
g15072	Scaffolds_6	-	1	0			0			0	0		
g7671	Scaffolds_21	+	1	0			0			0	0		
g3529	Scaffolds_16	-	1	0			0			0	0		
g12781	Scaffolds_32	+	1	0			0	833338	833515	178	0		
g620	Scaffolds_1	-	8	7	546581	546645	65			0	0	545137	545239
g8683	Scaffolds_23	-	2	1			0			0	0	1339634	1339971
g4324	Scaffolds_18	-	1	0			0			0	0		
g2351	Scaffolds_14	+	1	0			0	1031602	1032103	502	0		
g2401	Scaffolds_14	+	2	1			0			0	0	1181483	1181719
g11781	Scaffolds_3	-	1	0			0			0	0		
g10469	Scaffolds_28	+	2	1			0	510509	513120	2612	0	510424	510500
g13032	Scaffolds_33	-	2	1	846734	846830	97			0	0	846481	846616
g2433	Scaffolds_14	-	2	1	1288452	1289881	1430			0	0	1287140	1287216
g2652	Scaffolds_15	+	1	0			0			0	0		
g1592	Scaffolds_11	-	2	1	1193504	1193666	163			0	0	1191714	1192003
g1851	Scaffolds_13	-	3	2	369160	369593	434			0	0	368654	368712
g2546	Scaffolds_14	+	3	2			0	1689126	1689247	122	0	1688380	1688528
g13894	Scaffolds_4	-	3	2	1167311	1167416	106			0	0	1161651	1162932
g15328	Scaffolds_7	+	4	3			0			0	0	465486	465623
g2794	Scaffolds_15	+	5	4			0	755647	755791	145	0	754623	754716
g4939	Scaffolds_18	+	1	0			0			0	0		
g1201	Scaffolds_10	+	1	0			0	1359843	1360467	625	0		
g4997	Scaffolds_18	+	1	0			0			0	0		
g1647	Scaffolds_11	+	1	0			0			0	0		
g14360	Scaffolds_4	+	2	1			0	2992553	2994093	1541	0	2992366	2992430
g4355	Scaffolds_18	+	1	0			0			0	0		
g8214	Scaffolds_22	-	1	0			0			0	0		
g13405	Scaffolds_33	+	1	0			0			0	0		
g15919	Scaffolds_9	-	1	0			0			0	0		
g4238	Scaffolds_17	+	1	0			0			0	0		
g3252	Scaffolds_15	+	1	0			0	2608517	2608781	265	0		
g3777	Scaffolds_17	-	15	14			0			0	0	26705	26770
g6052	Scaffolds_19	-	6	5			0			0	0	2556945	2557018
g11826	Scaffolds_3	+	2	1			0			0	0	1317698	1317971
g1192	Scaffolds_10	-	1	0			0			0	0		
g6206	Scaffolds_2	+	2	1			0			0	0	591363	591406
g9409	Scaffolds_25	-	1	0			0			0	0		
g13666	Scaffolds_4	+	1	0			0			0	0		
g1984	Scaffolds_13	+	8	7			0	847091	847324	234	0	842418	842548
g6643	Scaffolds_20	+	1	0			0			0	0		
g11475	Scaffolds_3	+	1	0			0			0	0		
g6993	Scaffolds_20	+	1	0			0			0	0		
g7467	Scaffolds_21	+	1	0			0			0	0		
g14124	Scaffolds_4	+	2	1			0			0	0	2022588	2022636
g9391	Scaffolds_25	-	1	0			0			0	0		
g12856	Scaffolds_33	-	1	0			0			0	0		
g11119	Scaffolds_29	+	1	0			0			0	0		
g2760	Scaffolds_15	+	2	1			0			0	0	604692	604866
g4778	Scaffolds_18	+	4	3			0	1982294	1983173	880	0	1981081	1981158
g5559	Scaffolds_19	+	1	0			0			0	0		
g2005	Scaffolds_13	+	1	0			0			0	0		
g15725	Scaffolds_8	-	2	1			0			0	0	1385984	1386042
g9726	Scaffolds_25	-	1	0			0			0	0		
g8564	Scaffolds_23	+	1	0			0			0	0		
g454	Scaffolds_0	+	1	0			0			0	0		
g4929	Scaffolds_18	+	1	0			0			0	0		
g15354	Scaffolds_7	-	4	3			0			0	0	556734	557161
g1707	Scaffolds_11	-	1	0	1636443	1636734	292			0	0		
g6906	Scaffolds_20	-	1	0			0			0	0		
g2505	Scaffolds_14	+	1	0			0			0	0		
g13517	Scaffolds_33	+	1	0			0			0	0		
g1423	Scaffolds_11	-	1	0	582897	582931	35			0	0		
g11018	Scaffolds_29	-	1	0	1604530	1604590	61			0	0		
g11111	Scaffolds_29	+	1	0			0			0	0		
g1938	Scaffolds_13	+	1	0			0			0	0		
g12202	Scaffolds_31	-	1	0			0			0	0		
g2136	Scaffolds_14	-	1	0			0			0	0		
g14756	Scaffolds_5	+	2	1			0			0	0	683136	683327
g15101	Scaffolds_6	-	1	0			0			0	0		
g5945	Scaffolds_19	-	1	0			0			0	0		
g15373	Scaffolds_8	+	1	0			0			0	0		
g2231	Scaffolds_14	+	1	0			0			0	0		
g9856	Scaffolds_26	+	1	0			0			0	0		
g637	Scaffolds_1	+	4	3			0	604442	604566	125	0	602659	602909
g2842	Scaffolds_15	-	2	1	972921	973100	180			0	0	972371	972709
g203	Scaffolds_0	-	1	0	850457	851137	681			0	0		
g487	Scaffolds_1	+	1	0			0			0	0		
g649	Scaffolds_1	-	1	0			0			0	0		
g12713	Scaffolds_32	-	1	0			0			0	0		
g5146	Scaffolds_18	+	1	0			0			0	0		
g1273	Scaffolds_10	-	1	0			0			0	0		
g10897	Scaffolds_29	+	1	0			0			0	0		
g2	Scaffolds_0	-	1	0			0			0	0		
g12766	Scaffolds_32	-	1	0			0			0	0		
g5838	Scaffolds_19	+	2	1			0			0	0	1789907	1790055
g219	Scaffolds_0	+	1	0			0			0	0		
g13990	Scaffolds_4	+	1	0			0			0	0		
g9676	Scaffolds_25	+	1	0			0			0	0		
g13911	Scaffolds_4	+	1	0			0			0	0		
g4390	Scaffolds_18	+	1	0			0			0	0		
g16009	Scaffolds_9	-	1	0			0			0	0		
g15011	Scaffolds_6	-	1	0			0			0	0		
g14325	Scaffolds_4	-	1	0			0			0	0		
g5338	Scaffolds_19	+	1	0			0			0	0		
g14129	Scaffolds_4	-	1	0			0			0	0		
g14877	Scaffolds_5	-	1	0			0			0	0		
g77	Scaffolds_0	+	1	0			0	365633	366050	418	0		
g687	Scaffolds_1	-	1	0			0			0	0		
g1818	Scaffolds_13	-	1	0			0			0	0		
g13044	Scaffolds_33	+	1	0			0			0	0		
g12536	Scaffolds_31	-	1	0			0			0	0		
g14394	Scaffolds_4	+	1	0			0			0	0		
g12923	Scaffolds_33	-	2	1			0			0	0	394145	394219
g9549	Scaffolds_25	+	1	0			0			0	0		
g6875	Scaffolds_20	+	1	0			0			0	0		
g298	Scaffolds_0	+	1	0			0			0	0		
g1374	Scaffolds_11	-	1	0			0			0	0		
g2232	Scaffolds_14	+	1	0			0			0	0		
g4549	Scaffolds_18	-	1	0	1127451	1127482	32			0	0		
g9004	Scaffolds_24	+	1	0			0			0	0		
g11847	Scaffolds_3	+	1	0			0			0	0		
g11240	Scaffolds_29	+	1	0			0			0	0		
g1130	Scaffolds_10	+	1	0			0			0	0		
g4415	Scaffolds_18	+	1	0			0			0	0		
g309	Scaffolds_0	-	2	1			0			0	0	1220683	1220851
g15294	Scaffolds_7	+	1	0			0	338032	338617	586	0		
g11694	Scaffolds_3	+	1	0			0			0	0		
g5299	Scaffolds_18	+	21	20			0	3910501	3910520	20	0	3902363	3902752
g2954	Scaffolds_15	-	1	0	1460043	1460694	652			0	0		
g6063	Scaffolds_2	-	13	12			0			0	0	108358	108640
g14916	Scaffolds_5	-	1	0			0			0	0		
g136	Scaffolds_0	+	1	0			0			0	0		
g14083	Scaffolds_4	+	1	0			0			0	0		
g10791	Scaffolds_29	+	1	0			0	715260	715618	359	0		
g6419	Scaffolds_2	-	1	0			0			0	0		
g3351	Scaffolds_16	+	7	6			0	35734	35915	182	0	33223	33398
g5253	Scaffolds_18	-	1	0			0			0	0		
g4956	Scaffolds_18	+	1	0			0			0	0		
g13003	Scaffolds_33	+	2	1			0	741085	741254	170	0	739935	740071
g10253	Scaffolds_26	+	1	0			0			0	0		
g2800	Scaffolds_15	+	1	0			0			0	0		
g2704	Scaffolds_15	+	3	2			0	433592	433660	69	0	430656	430725
g5159	Scaffolds_18	-	2	1	3409300	3409358	59			0	0	3408057	3408185
g2987	Scaffolds_15	+	1	0			0			0	0		
g13130	Scaffolds_33	+	1	0			0			0	0		
g2739	Scaffolds_15	+	1	0			0	534574	534916	343	0		
g13269	Scaffolds_33	-	4	3			0			0	0	1712529	1712641
g11499	Scaffolds_3	+	1	0			0			0	0		
g5794	Scaffolds_19	+	1	0			0			0	0		
g11340	Scaffolds_29	+	1	0			0			0	0		
g12595	Scaffolds_32	-	1	0	227479	227617	139			0	0		
g4993	Scaffolds_18	+	1	0			0			0	0		
g3106	Scaffolds_15	-	1	0			0			0	0		
g1293	Scaffolds_10	+	15	14			0	1643689	1643848	160	0	1641051	1641142
g15051	Scaffolds_6	+	4	3			0	439625	440047	423	0	438639	438741
g15659	Scaffolds_8	+	1	0			0			0	0		
g8709	Scaffolds_23	+	1	0			0			0	0		
g3880	Scaffolds_17	+	2	1			0			0	0	402324	402651
g7142	Scaffolds_21	-	1	0			0			0	0		
g10707	Scaffolds_29	+	1	0			0			0	0		
g9291	Scaffolds_24	+	1	0			0			0	0		
g14514	Scaffolds_4	+	2	1			0	3598081	3598110	30	0	3594780	3594967
g10960	Scaffolds_29	+	1	0			0			0	0		
g3708	Scaffolds_16	+	2	1			0	1234125	1234482	358	0	1232100	1232230
g14915	Scaffolds_5	-	1	0			0			0	0		
g6879	Scaffolds_20	+	1	0			0			0	0		
g7208	Scaffolds_21	-	2	1			0			0	0	723018	723186
g2072	Scaffolds_14	+	3	2			0	37949	38120	172	0	36102	36173
g1979	Scaffolds_13	+	2	1			0			0	0	833509	833818
g4360	Scaffolds_18	-	2	1	411192	411267	76			0	0	410903	411188
g11005	Scaffolds_29	-	3	2	1560715	1561174	460			0	0	1558791	1558889
g4203	Scaffolds_17	-	1	0			0			0	0		
g3945	Scaffolds_17	-	1	0			0			0	0		
g5887	Scaffolds_19	-	1	0	1953988	1954198	211			0	0		
g1203	Scaffolds_10	+	1	0			0			0	0		
g11493	Scaffolds_3	-	1	0			0			0	0		
g11428	Scaffolds_29	+	2	1			0			0	0	3093191	3093477
g15033	Scaffolds_6	-	1	0			0			0	0		
g13848	Scaffolds_4	-	1	0			0			0	0		
g6522	Scaffolds_20	-	1	0			0			0	0		
g13682	Scaffolds_4	-	6	5			0			0	0	301431	301527
g15384	Scaffolds_8	-	1	0	101767	101960	194			0	0		
g15825	Scaffolds_9	+	1	0			0			0	0		
g11399	Scaffolds_29	-	1	0			0			0	0		
g4512	Scaffolds_18	-	1	0			0			0	0		
g15838	Scaffolds_9	-	1	0			0			0	0		
g961	Scaffolds_10	-	2	1			0			0	0	535271	535453
g5996	Scaffolds_19	+	3	2			0	2314741	2315162	422	0	2313958	2314218
g1618	Scaffolds_11	+	1	0			0			0	0		
g15220	Scaffolds_7	-	1	0			0			0	0		
g10600	Scaffolds_28	-	7	6	1060472	1060925	454			0	0	1058583	1058677
g3872	Scaffolds_17	-	1	0			0			0	0		
g182	Scaffolds_0	-	1	0			0			0	0		
g14091	Scaffolds_4	+	1	0			0			0	0		
g9987	Scaffolds_26	+	1	0			0			0	0		
g4468	Scaffolds_18	+	1	0			0			0	0		
g2964	Scaffolds_15	-	1	0			0			0	0		
g8793	Scaffolds_23	+	3	2			0	1840379	1843709	3331	0	1838294	1838373
g6713	Scaffolds_20	+	1	0			0			0	0		
g8776	Scaffolds_23	+	1	0			0			0	0		
g13091	Scaffolds_33	-	1	0			0			0	0		
g8361	Scaffolds_23	+	1	0			0			0	0		
g6500	Scaffolds_20	+	2	1			0	259503	260021	519	0	253250	253483
g1976	Scaffolds_13	-	1	0			0			0	0		
g6078	Scaffolds_2	-	1	0			0			0	0		
g11091	Scaffolds_29	-	3	2	1862482	1862634	153			0	0	1861874	1862003
g7035	Scaffolds_20	+	1	0			0			0	0		
g2174	Scaffolds_14	+	1	0			0			0	0		
g3428	Scaffolds_16	+	1	0			0			0	0		
g5950	Scaffolds_19	+	1	0			0			0	0		
g12678	Scaffolds_32	-	1	0	501537	501539	3			0	0		
g15466	Scaffolds_8	+	1	0			0			0	0		
g12842	Scaffolds_33	-	1	0			0			0	0		
g8716	Scaffolds_23	+	1	0			0			0	0		
g8550	Scaffolds_23	-	2	1			0			0	0	840242	840683
g2587	Scaffolds_15	-	21	20	33673	33775	103			0	0	25999	26274
g8366	Scaffolds_23	+	1	0			0			0	0		
g8914	Scaffolds_24	+	1	0			0			0	0		
g5596	Scaffolds_19	+	1	0			0			0	0		
g2797	Scaffolds_15	-	1	0			0			0	0		
g4478	Scaffolds_18	+	1	0			0	888322	888754	433	0		
g3387	Scaffolds_16	-	1	0			0			0	0		
g3784	Scaffolds_17	-	1	0			0			0	0		
g6086	Scaffolds_2	-	1	0			0			0	0		
g3604	Scaffolds_16	+	1	0			0			0	0		
g15808	Scaffolds_8	+	2	1			0			0	0	1664885	1665232
g5711	Scaffolds_19	-	3	2			0			0	0	1352535	1352656
g11178	Scaffolds_29	+	1	0			0			0	0		
g7332	Scaffolds_21	+	2	1			0			0	0	1115629	1115707
g11522	Scaffolds_3	+	3	2			0			0	0	195656	195974
g8340	Scaffolds_22	-	1	0			0			0	0		
g3911	Scaffolds_17	+	1	0			0			0	0		
g8789	Scaffolds_23	-	1	0	1824533	1825241	709			0	0		
g14834	Scaffolds_5	+	2	1			0	1002210	1002448	239	0	1001734	1001925
g3726	Scaffolds_16	+	1	0			0			0	0		
g9844	Scaffolds_26	+	1	0			0			0	0		
g7457	Scaffolds_21	+	1	0			0			0	0		
g1253	Scaffolds_10	-	1	0			0			0	0		
g15209	Scaffolds_7	+	3	2			0	27314	34434	7121	0	25932	26074
g15581	Scaffolds_8	+	1	0			0			0	0		
g10994	Scaffolds_29	+	1	0			0			0	0		
g8638	Scaffolds_23	-	2	1			0			0	0	1200044	1200326
g12775	Scaffolds_32	+	1	0			0			0	0		
g14576	Scaffolds_4	+	1	0			0			0	0		
g6820	Scaffolds_20	+	1	0			0			0	0		
g8559	Scaffolds_23	-	1	0			0			0	0		
g3980	Scaffolds_17	-	1	0			0			0	0		
g13500	Scaffolds_33	+	1	0			0			0	0		
g553	Scaffolds_1	+	1	0			0			0	0		
g751	Scaffolds_1	+	1	0			0			0	0		
g15014	Scaffolds_6	-	1	0			0			0	0		
g11641	Scaffolds_3	+	2	1			0	606430	606530	101	0	603657	603816
g10402	Scaffolds_28	+	2	1			0	220652	220801	150	0	219574	219756
g6351	Scaffolds_2	+	1	0			0	1211790	1212051	262	0		
g3306	Scaffolds_15	+	1	0			0			0	0		
g10093	Scaffolds_26	-	3	2			0			0	0	1349358	1349458
g4199	Scaffolds_17	+	1	0			0			0	0		
g4620	Scaffolds_18	+	1	0	1367693	1368880	1188	1370183	1370453	271	0		
g8393	Scaffolds_23	-	4	3	238594	238696	103			0	0	237991	238125
g8423	Scaffolds_23	+	1	0			0			0	0		
g11505	Scaffolds_3	+	1	0			0			0	0		
g2473	Scaffolds_14	-	1	0			0			0	0		
g8292	Scaffolds_22	+	1	0			0			0	0		
g3837	Scaffolds_17	-	1	0			0			0	0		
g11624	Scaffolds_3	+	1	0			0			0	0		
g531	Scaffolds_1	-	1	0			0			0	0		
g2186	Scaffolds_14	-	1	0			0			0	0		
g15796	Scaffolds_8	+	2	1			0	1626137	1627267	1131	0	1625027	1625071
g9709	Scaffolds_25	+	1	0			0			0	0		
g530	Scaffolds_1	+	1	0			0			0	0		
g12180	Scaffolds_31	-	5	4	24786	24807	22			0	0	23686	23830
g2669	Scaffolds_15	+	1	0			0			0	0		
g931	Scaffolds_10	-	1	0			0			0	0		
g4947	Scaffolds_18	+	2	1			0	2564056	2564568	513	0	2563409	2563627
g9451	Scaffolds_25	+	3	2			0	455966	456051	86	0	452201	452249
g11175	Scaffolds_29	+	5	4			0	2198184	2199504	1321	0	2195911	2196214
g9188	Scaffolds_24	+	1	0			0			0	0		
g4867	Scaffolds_18	-	1	0			0			0	0		
g10058	Scaffolds_26	-	1	0			0			0	0		
g1499	Scaffolds_11	-	1	0			0			0	0		
g13673	Scaffolds_4	-	1	0			0			0	0		
g8274	Scaffolds_22	+	7	6			0	1821753	1824085	2333	0	1820178	1820315
g12587	Scaffolds_32	+	1	0			0			0	0		
g6488	Scaffolds_20	-	1	0			0			0	0		
g4738	Scaffolds_18	+	1	0			0			0	0		
g13903	Scaffolds_4	-	1	0			0			0	0		
g4948	Scaffolds_18	+	1	0			0			0	0		
g1593	Scaffolds_11	-	1	0			0			0	0		
g15059	Scaffolds_6	+	1	0			0			0	0		
g7183	Scaffolds_21	+	1	0			0			0	0		
g8642	Scaffolds_23	-	1	0			0			0	0		
g11552	Scaffolds_3	+	2	1			0			0	0	318550	318678
g11079	Scaffolds_29	+	1	0			0			0	0		
g15850	Scaffolds_9	+	1	0			0	82408	82570	163	0		
g13106	Scaffolds_33	-	1	0			0			0	0		
g12303	Scaffolds_31	-	4	3			0			0	0	419746	419882
g7965	Scaffolds_22	+	1	0			0			0	0		
g8538	Scaffolds_23	+	1	0			0			0	0		
g9648	Scaffolds_25	-	1	0			0			0	0		
g6665	Scaffolds_20	+	1	0			0			0	0		
g4103	Scaffolds_17	+	2	1			0	1174422	1174946	525	0	1172319	1172526
g1541	Scaffolds_11	-	1	0			0			0	0		
g364	Scaffolds_0	-	3	2	1393176	1393276	101			0	0	1390859	1391154
g1738	Scaffolds_12	-	1	0			0			0	0		
g11071	Scaffolds_29	+	1	0			0			0	0		
g3284	Scaffolds_15	-	1	0			0			0	0		
g2100	Scaffolds_14	+	1	0			0			0	0		
g3334	Scaffolds_15	-	1	0			0			0	0		
g13435	Scaffolds_33	+	1	0			0			0	0		
g1995	Scaffolds_13	+	4	3			0	874003	874508	506	0	872348	872817
g7385	Scaffolds_21	+	1	0			0			0	0		
g5877	Scaffolds_19	-	1	0			0			0	0		
g3004	Scaffolds_15	+	1	0			0			0	0		
g4389	Scaffolds_18	-	3	2	530003	530810	808			0	0	529583	529734
g7957	Scaffolds_22	+	1	0			0			0	0		
g10380	Scaffolds_28	-	1	0			0			0	0		
g12308	Scaffolds_31	-	1	0			0			0	0		
g7239	Scaffolds_21	-	1	0			0			0	0		
g13263	Scaffolds_33	+	1	0			0			0	0		
g14318	Scaffolds_4	-	2	1			0			0	0	2732121	2732191
g10636	Scaffolds_29	+	1	0			0			0	0		
g7627	Scaffolds_21	-	1	0			0			0	0		
g197	Scaffolds_0	+	1	0			0			0	0		
g5737	Scaffolds_19	-	1	0			0			0	0		
g3029	Scaffolds_15	+	2	1			0	1750808	1751122	315	0	1749284	1749619
g3600	Scaffolds_16	+	1	0			0			0	0		
g9447	Scaffolds_25	+	1	0			0			0	0		
g9026	Scaffolds_24	+	1	0			0			0	0		
g3709	Scaffolds_16	+	2	1			0			0	0	1236935	1237120
g3583	Scaffolds_16	-	1	0	829921	830058	138			0	0		
g2285	Scaffolds_14	+	3	2			0	772365	773425	1061	0	770394	770483
g3049	Scaffolds_15	+	1	0			0			0	0		
g6195	Scaffolds_2	-	1	0			0			0	0		
g153	Scaffolds_0	+	3	2			0	647953	650026	2074	0	644591	644752
g6911	Scaffolds_20	+	1	0			0			0	0		
g14894	Scaffolds_5	-	1	0			0			0	0		
g14257	Scaffolds_4	-	1	0			0			0	0		
g3748	Scaffolds_16	+	2	1			0	1387991	1388161	171	0	1387136	1387296
g7276	Scaffolds_21	+	1	0			0			0	0		
g2123	Scaffolds_14	-	3	2			0			0	0	208597	208692
g1801	Scaffolds_13	-	1	0			0			0	0		
g2208	Scaffolds_14	-	1	0			0			0	0		
g2209	Scaffolds_14	+	1	0			0			0	0		
g13550	Scaffolds_33	+	1	0			0			0	0		
g1304	Scaffolds_11	+	2	1			0	80150	81169	1020	0	77921	78269
g4092	Scaffolds_17	+	1	0			0			0	0		
g8999	Scaffolds_24	+	1	0			0			0	0		
g6963	Scaffolds_20	-	1	0			0			0	0		
g14264	Scaffolds_4	-	2	1			0			0	0	2523540	2523746
g1408	Scaffolds_11	-	3	2	541823	541983	161			0	0	541306	541404
